,gene symbol,forebrain_10.5_rep1,forebrain_10.5_rep2,forebrain_11.5_rep1,forebrain_11.5_rep2,forebrain_12.5_rep1,forebrain_12.5_rep2,forebrain_13.5_rep1,forebrain_13.5_rep2,forebrain_14.5_rep1,forebrain_14.5_rep2,forebrain_15.5_rep1,forebrain_15.5_rep2,forebrain_16.5_rep1,forebrain_16.5_rep2,forebrain_p0_rep1,forebrain_p0_rep2
9459,Glmp,87.147154,82.196916,57.814095,56.906335,56.019185,51.600123,64.208427,44.012239,43.171132,33.635453,62.574909,68.403956,63.450555,54.680977,74.754825,64.728098
9461,Glo1,206.597412,208.496554,198.605654,216.898619,180.10081,181.868925,129.139212,120.439129,133.973505,141.975814,116.787959,107.378747,110.939453,124.014521,131.90072,114.468478
9463,Glod4,99.689836,93.322525,81.96848,83.240585,81.045552,77.719514,77.090549,69.020025,80.025417,84.289933,75.123143,69.098927,82.703162,80.660947,79.677862,68.339459
9464,Glod5,0.200387,0.220262,0.125388,0.16911,0.358925,0.337359,0.210389,0.124181,0.320164,0.085638,0.350263,0.229405,0.190393,0.327953,1.13695,0.468563
9465,Glp1r,0.007886,0.038997,0.022358,0.025411,0.036207,0.033784,0.021326,0.029911,0.019242,0.108859,0.037261,0.054339,0.111747,0.019531,0.176255,0.095762
9466,Glp2r,0.0,0.018825,0.027517,0.044319,0.0,0.014762,0.020199,0.0,0.058124,0.025414,0.058541,0.111082,0.041112,0.015884,0.03759,0.015646
9467,Glra1,0.0,0.015906,0.02041,0.028147,0.013423,0.0,0.026354,0.013613,0.0,0.014217,0.0,0.037024,0.082896,0.0,0.052416,0.023236
9468,Glra2,0.041293,0.0,0.046574,0.17458,2.084961,2.720083,6.658791,7.780571,3.452337,6.377373,18.6156,19.096039,26.311983,21.190734,26.196626,11.570891
9469,Glra3,0.042104,0.016749,0.011419,0.110178,0.045569,0.063069,0.125134,0.133258,0.176299,0.324108,0.299795,0.179367,0.588701,0.192516,0.588887,0.321276
9470,Glra4,0.088369,0.092147,0.033299,0.04544,0.01284,0.015186,0.058084,0.049495,0.034218,0.046117,0.029224,0.095245,0.025151,0.0,0.017166,0.0
9471,Glrb,4.897248,4.41268,7.016556,7.118757,9.285534,9.254758,10.60609,9.980223,16.426141,20.70281,19.402163,19.462122,27.170243,25.176677,32.636931,27.310096
9472,Glrp1,0.0,0.0,0.0,0.020367,0.0,0.0,0.016612,0.029457,0.0,0.020981,0.0,0.018261,0.0,0.0,0.061429,0.064009
9473,Glrx,18.629543,16.398772,14.781277,16.756633,18.378691,20.265982,20.324263,16.924834,25.522507,26.848939,21.078415,20.136725,21.809503,22.818547,42.506236,38.540675
9474,Glrx2,103.575606,100.673862,106.323694,93.005782,163.950128,161.512368,155.982784,179.241772,126.23529,119.164728,172.12356,179.029515,143.694564,165.3009,132.588152,123.444177
9475,Glrx3,220.494742,204.069635,193.145407,174.86442,167.334685,163.259664,176.364657,171.08862,188.6016,191.670525,151.328133,156.714834,175.695237,179.280178,148.295511,157.575475
9476,Glrx5,174.833204,177.660366,139.790567,135.777778,118.247679,122.402023,95.071338,92.519514,106.826208,103.856822,94.374882,96.073711,97.449662,89.669407,117.141781,119.90056
9477,Gls,11.480231,10.329809,21.894379,22.517965,22.959074,22.607678,12.859195,11.945035,18.870811,21.629267,21.223401,18.568896,21.355868,19.368816,15.067051,9.224277
9478,Gls2,0.76157,1.309532,0.690804,0.724435,0.619367,0.660882,0.476554,0.232182,0.314542,0.168257,0.291691,0.298993,0.318055,0.498737,0.504908,0.705059
9479,Glt1d1,1.140406,0.812771,1.155412,1.611971,0.722902,0.802695,0.581155,0.500155,0.998194,0.761558,0.678737,1.238845,0.630445,0.704171,0.703771,0.520028
9480,Glt28d2,0.143915,0.060064,0.098057,0.083498,0.074257,0.119215,0.059905,0.037876,0.337978,0.406336,1.041393,0.723834,0.803275,1.192959,0.661078,0.581832
9481,Glt6d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9482,Glt8d1,47.464358,53.95118,58.142886,61.718773,55.147559,57.033818,55.568388,48.422435,38.797289,41.091323,42.502761,41.103528,32.023772,37.675693,33.825535,23.69579
